sample_id,location,stage,year,day,number
ob_1,oude_beek,third_instar,1,72,0
ob_1,oude_beek,third_instar,1,73,0
ob_1,oude_beek,third_instar,1,74,0
ob_1,oude_beek,third_instar,1,75,0
ob_1,oude_beek,third_instar,1,76,0
ob_1,oude_beek,third_instar,1,77,0
ob_1,oude_beek,third_instar,1,78,0
ob_1,oude_beek,third_instar,1,79,0
ob_1,oude_beek,third_instar,1,80,0
ob_1,oude_beek,third_instar,1,81,0
ob_1,oude_beek,third_instar,1,82,0
ob_1,oude_beek,third_instar,1,83,0
ob_1,oude_beek,third_instar,1,84,0
ob_1,oude_beek,third_instar,1,85,0
ob_1,oude_beek,third_instar,1,86,0
ob_1,oude_beek,third_instar,1,87,0
ob_1,oude_beek,third_instar,1,88,0
ob_1,oude_beek,third_instar,1,89,0
ob_1,oude_beek,third_instar,1,90,0
ob_1,oude_beek,third_instar,1,91,0
ob_1,oude_beek,third_instar,1,92,0
ob_1,oude_beek,third_instar,1,93,0
ob_1,oude_beek,third_instar,1,94,1
ob_1,oude_beek,third_instar,1,95,5
ob_1,oude_beek,third_instar,1,96,11
ob_1,oude_beek,third_instar,1,97,20
ob_1,oude_beek,third_instar,1,98,27
ob_1,oude_beek,third_instar,1,99,38
ob_1,oude_beek,third_instar,1,100,49
ob_1,oude_beek,third_instar,1,101,61
ob_1,oude_beek,third_instar,1,102,72
ob_1,oude_beek,third_instar,1,103,83
ob_1,oude_beek,third_instar,1,104,94
ob_1,oude_beek,third_instar,1,105,104
ob_1,oude_beek,third_instar,1,106,115
ob_1,oude_beek,third_instar,1,107,125
ob_1,oude_beek,third_instar,1,108,136
ob_1,oude_beek,third_instar,1,109,146
ob_1,oude_beek,third_instar,1,110,156
ob_1,oude_beek,third_instar,1,111,166
ob_1,oude_beek,third_instar,1,112,175
ob_1,oude_beek,third_instar,1,113,185
ob_1,oude_beek,third_instar,1,114,195
ob_1,oude_beek,third_instar,1,115,204
ob_1,oude_beek,third_instar,1,116,213
ob_1,oude_beek,third_instar,1,117,222
ob_1,oude_beek,third_instar,1,118,231
ob_1,oude_beek,third_instar,1,119,240
ob_1,oude_beek,third_instar,1,120,249
ob_1,oude_beek,third_instar,1,121,258
ob_1,oude_beek,third_instar,1,122,266
ob_1,oude_beek,third_instar,1,123,275
ob_1,oude_beek,third_instar,1,124,283
ob_1,oude_beek,third_instar,1,125,291
ob_1,oude_beek,third_instar,1,126,300
ob_1,oude_beek,third_instar,1,127,308
ob_1,oude_beek,third_instar,1,128,316
ob_1,oude_beek,third_instar,1,129,323
ob_1,oude_beek,third_instar,1,130,331
ob_1,oude_beek,third_instar,1,131,339
ob_1,oude_beek,third_instar,1,132,345
