feature_id,MM_1,MM_2,MM_3,MM_4,LA1330_1,LA1330_2,LA1330_3,LA1330_4,PI127826_1,PI127826_2,PI127826_3,PI127826_4,LYC4_1,LYC4_2,LYC4_3,LYC4_4,LA0716_1,LA0716_2,LA0716_3,LA0716_4,LA1028_1,LA1028_2,LA1028_3,LA1028_4,LA1777_1,LA1777_2,LA1777_3,LA1777_4,LA1840_1,LA1840_2,LA1840_3,LA1840_4
rt-0.59_mz-418.87864,7418,11590,6582,10614,8554,5888,5680,4564,7492,6472,7548,6726,11278,10616,12266,9184,18646,16078,14598,16816,11088,8274,8490,6292,3278,4576,4082,2770,13098,9698,10980,8160
rt-0.59_mz-508.87518,3460,7264,2798,4802,2882,1954,3214,1508,2424,2438,3584,3124,6276,6052,5174,5212,9578,9038,7596,9182,5488,3682,4560,2996,1380,1704,1482,1264,6352,5348,5780,3716
rt-0.59_mz-622.84019,4114,6126,2870,3850,3986,3568,2984,2218,2828,2846,3050,2462,6890,4744,4828,3790,4230,7772,6616,6448,7140,4590,3892,2174,2162,2480,2062,1480,6232,6032,4372,3458
rt-0.59_mz-734.82876,1350,1836,1364,1916,2540,1274,2512,2066,2108,2572,3042,2672,1238,1882,1118,1744,2136,1894,1564,2590,896,1042,784,918,2100,2184,3112,1838,1066,1086,834,1242
rt-0.5_mz-319.93867,2938,2296,2690,2140,2612,2618,3148,2254,1746,2238,1636,1938,1308,1696,1382,1254,1004,864,1032,1044,1882,3580,1750,2374,2322,1954,2132,2060,2244,2554,1206,2124
rt-0.5_mz-386.92474,4982,3956,4438,3732,4084,4582,4896,3648,2792,2756,2436,2934,2952,3026,2194,1840,1640,1688,1268,1094,4390,5626,2954,4262,3380,2906,4066,2926,3596,3958,2130,3604
rt-0.5_mz-387.92622,1600,1344,1386,1318,1676,1406,1402,1522,764,1142,890,812,1278,1216,666,732,770,644,538,364,1292,2092,1048,1620,1292,904,960,1002,1202,1464,730,1264
rt-0.5_mz-425.91233,1032,1136,1150,1484,750,616,934,924,1192,1228,1142,1562,1470,1336,996,1308,992,1282,854,1658,910,812,1336,1244,1230,1120,1156,1174,1630,790,1186,1158
rt-0.5_mz-494.89608,812,660,738,928,588,412,728,636,1034,816,900,902,820,1096,1122,778,662,638,1058,782,624,934,960,926,942,760,652,1134,970,822,844,960
rt-0.5_mz-516.88204,2368,2164,2462,2668,2174,1942,2022,1860,1480,1680,1680,1224,1806,2270,2050,1634,1628,1068,1456,1552,1902,2920,1890,2832,1606,882,1522,990,2270,2268,1940,2792
